,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample),Params
0,0.857142734693895,0.26984126555807514,0.2608695538752368,0.7841036048833578,1.6381440162658691,0.0234020573752267,16257.0
1,0.33333327777778704,0.17460317183169569,0.15384614201183525,0.5126957900180844,1.2509119510650635,0.018129158711087875,16257.0
2,0.8333331944444675,0.12698412496850595,0.3846153550295881,0.8518399647878977,1.3710720539093018,0.019870609476946403,16257.0
3,0.49999991666668053,0.23809523431594867,0.1666666574074079,0.6084074669140811,1.4073920249938965,0.02039698586947676,16257.0
4,0.8333331944444675,0.20634920307382218,0.27777776234567986,0.8124395861551709,0.9982399940490723,0.014467246290566265,16257.0
5,0.6666665555555741,0.09523809372637947,0.39999996000000404,0.7548658737733362,1.9951679706573486,0.028915477835613747,16257.0
6,0.6666665555555741,0.1428571405895692,0.3076922840236705,0.7435635090294157,2.4804799556732178,0.035948984864829246,16257.0
7,0.7142856122449125,0.14516128798126957,0.3571428316326549,0.7733896395807932,1.555840015411377,0.02254840602045474,16257.0
8,0.57142848979593,0.17741935197710723,0.2666666488888901,0.6720128311849883,1.0630719661712646,0.015406840089438618,16257.0
9,0.4285713673469475,0.14516128798126957,0.2499999791666684,0.5831052400520498,1.6298880577087402,0.02362156605374986,16257.0
Average,0.6404760898526235,0.1721710162003643,0.28252771743816363,0.7096423506379176,1.539020800590515,0.02227073325873902,16257.0
