,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample),Params
0,0.8461537810650938,0.4999999750000012,0.5238094988662143,0.6300887714055108,2.1413118839263916,0.06488823890686035,16257.0
1,0.9230768520710114,0.34999998250000086,0.6315789141274255,0.7466058816415563,0.7742080092430115,0.023460848764939743,16257.0
2,0.9230768520710114,0.2499999875000006,0.7058823114186875,0.8150443777046701,1.0570240020751953,0.03203103036591501,16257.0
3,0.9999999230769291,0.399999980000001,0.6190475895691624,0.7171573016675108,0.7414079904556274,0.02246690880168568,16257.0
4,0.9999999230769291,0.7894736426592819,0.46428569770408223,0.44175783370757393,0.707360029220581,0.022105000913143158,16257.0
5,0.9999999230769291,0.31578945706371275,0.684210490304711,0.776703133483024,0.7134720087051392,0.0222960002720356,16257.0
6,0.8461537810650938,0.26315788088642733,0.6874999570312527,0.7844533352691323,0.9925439953804016,0.03101699985563755,16257.0
7,0.8461537810650938,0.26315788088642733,0.6874999570312527,0.7844533352691323,1.311295986175537,0.040977999567985535,16257.0
8,0.8461537810650938,0.47368418559556913,0.5499999725000013,0.647831456001601,1.0526399612426758,0.03289499878883362,16257.0
9,0.9999999166666736,0.9999999500000024,0.3749999882812504,0.2928932541687873,1.2614079713821411,0.03941899910569191,16257.0
Average,0.9230768514299859,0.46052629220914243,0.5928814376834041,0.6636988680318499,1.0752671837806702,0.033155702534272816,16257.0
