,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample),Params
0,0.9210526073407209,0.20093457850030572,0.4487179429651546,0.8473445126358147,3.402143955230713,0.013500571250915527,9985.0
1,0.9210526073407209,0.2850467276399686,0.3645833295355903,0.790853726131742,3.046272039413452,0.01208838110878354,9985.0
2,0.7631578746537402,0.19626168132587998,0.4084506984725254,0.7824996093159892,6.686016082763672,0.02653180985223679,9985.0
3,0.8421052409972306,0.17757009262817713,0.457142850612245,0.8319793275865704,4.216288089752197,0.0167313019434611,9985.0
4,0.8421052409972306,0.2570093445934143,0.36781608772625185,0.7867108088429244,3.3789119720458984,0.013408380841451979,9985.0
5,0.8378378151935726,0.17757009262817713,0.4492753558076036,0.8299592519759259,4.028895854949951,0.016051377908167137,9985.0
6,0.94594592037984,0.21495327002358286,0.43209876009754616,0.8432729254126557,2.555903911590576,0.010182884109922614,9985.0
7,0.8108107888970058,0.15887850393047429,0.4687499926757814,0.8253075035827826,6.049344062805176,0.02410097236177361,9985.0
8,0.8648648414901394,0.21495327002358286,0.4102564049967128,0.8204639042430235,5.054815769195557,0.020138708243806997,9985.0
9,0.94594592037984,0.22429906437243427,0.42168674190738864,0.8368560240126348,5.123775959014893,0.020413450035915905,9985.0
Average,0.8694878857670043,0.21074766256659969,0.42287781647968004,0.8195247593740064,4.354236769676208,0.01731478376564352,9985.0
