,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample),Params
0,0.4999999750000012,0.07499999906250002,0.6249999609375024,0.6424912414643704,1.525696039199829,0.015256960391998291,16257.0
1,0.6190475895691624,0.12658227687870535,0.5652173667296797,0.7161445686332015,1.780351996421814,0.01780351996421814,16257.0
2,0.6666666349206364,0.11392404919083482,0.6086956257088858,0.7509118416512258,1.451200008392334,0.01451200008392334,16257.0
3,0.8095237709750585,0.13924050456657588,0.6071428354591845,0.8331630857161452,1.1165759563446045,0.011165759563446044,16257.0
4,0.6666666349206364,0.1772151876301875,0.49999998214285774,0.7330577262759466,1.239359974861145,0.01239359974861145,16257.0
5,0.6190475895691624,0.22784809838166964,0.4193548251821024,0.6861214447041593,1.1829760074615479,0.011829760074615479,16257.0
6,0.8095237709750585,0.13924050456657588,0.6071428354591845,0.8331630857161452,1.2181119918823242,0.012181119918823242,16257.0
7,0.6499999675000016,0.15189873225444644,0.5199999792000009,0.7302100376121194,1.1777600049972534,0.011896565707042964,16257.0
8,0.6999999650000017,0.10126582150296429,0.6363636074380178,0.7761085222650599,1.554144024848938,0.015698424493423617,16257.0
9,0.799999960000002,0.12658227687870535,0.6153845917159773,0.8326335027256082,1.297536015510559,0.013106424399096556,16257.0
Average,0.6840475858429721,0.1378797450913165,0.5704301609973392,0.7534005056763983,1.3543712019920349,0.013584413434519915,16257.0
