,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample),Params
0,0.8749998906250137,0.18032786786706084,0.17499999562500013,0.8448498029758926,3.522592067718506,0.01844289040690317,9985.0
1,0.8749998906250137,0.10382513604467139,0.26923075887574005,0.8850985504476705,3.6363840103149414,0.019038659739868805,9985.0
2,0.9999998750000157,0.1420765019558661,0.23529411072664383,0.8995367420197045,5.507872104644775,0.028837026725888875,9985.0
3,0.9999998888889013,0.1263736256792658,0.2812499912109378,0.9106403523190262,3.292288064956665,0.01723711028773123,9985.0
4,0.9999998888889013,0.1318681311435817,0.2727272644628102,0.9067551502459433,3.437119960784912,0.017995392464842472,9985.0
5,0.9999998888889013,0.21428571310832026,0.1874999960937501,0.8484771191496914,3.7338879108428955,0.01954915136566961,9985.0
6,0.9999998888889013,0.11538461475063398,0.2999999900000003,0.9184107564651915,3.3171520233154297,0.017367288080185495,9985.0
7,0.5555554938271674,0.1318681311435817,0.17241378715814526,0.6721889850245161,1.944159984588623,0.01017884808685143,9985.0
8,0.6249999218750099,0.1263736256792658,0.17857142219387778,0.7201827812114916,3.5472640991210938,0.018669811048005757,9985.0
9,0.8749998906250137,0.1428571420722135,0.21212120569329682,0.8657740889678913,9.324576377868652,0.04907671777825606,9985.0
Average,0.8805554518132841,0.1415240489444461,0.22841085220402024,0.8471914328827019,4.126329660415649,0.021639289598420288,9985.0
