,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample),InferencePerModel(ms_per_sample_per_model)
0,0.9999998750000157,0.014184397112821287,0.6666666111111158,0.9899701166140917,14.560159683227539,0.05020744718354324,0.010041489436708647
1,0.9999998571428775,0.028368794225642573,0.46666663555555765,0.979940233228708,24.03273582458496,0.08315825544839087,0.016631651089678175
2,0.857142734693895,0.010638297834615965,0.6666665925926009,0.8987049566080432,18.07049560546875,0.06252766645490918,0.012505533290981833
3,0.9999998571428775,0.014184397112821287,0.636363578512402,0.9899701166139725,16.336992263793945,0.0565293849958268,0.01130587699916536
4,0.857142734693895,0.01773049639102661,0.5454544958677732,0.898209605676638,21.20025634765625,0.07335728840019463,0.014671457680038927
5,0.9999998750000157,0.024911031939818393,0.5333332977777802,0.982385240388778,16.330495834350586,0.0565069060012131,0.01130138120024262
6,0.8749998906250137,0.007117437697090969,0.7777776913580343,0.9114684088499181,16.23075294494629,0.05616177489600792,0.011232354979201584
7,0.8749998906250137,0.021352313091272907,0.5384614970414233,0.9103313080888701,12.959456443786621,0.044842409840092114,0.008968481968018423
8,0.9999998750000157,0.0035587188485454845,0.8888887901234679,0.9974836057683047,17.6759033203125,0.06116229522599481,0.012232459045198962
9,0.6249999218750099,0.007117437697090969,0.7142856122449125,0.7347871453783578,15.448224067687988,0.05345406251795152,0.010690812503590304
Average,0.908928451179863,0.014916332195074641,0.6434564802185068,0.9293250737215681,17.28454723358154,0.05979074909641241,0.011958149819282482
