,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample),InferencePerModel(ms_per_sample_per_model)
0,0.99999950000025,0.0,0.99999950000025,0.9999996464467862,4.164991855621338,0.694165309270223,0.1388330618540446
1,0.0,0.24999993750001562,0.0,0.27113102386299526,4.3561601638793945,0.726026693979899,0.14520533879597983
2,0.0,0.7499998125000469,0.0,0.11611660306630234,4.979616165161133,0.8299360275268555,0.1659872055053711
3,0.99999950000025,0.0,0.99999950000025,0.9999996464467862,4.564671993255615,0.7607786655426025,0.1521557331085205
4,0.33333322222225925,0.0,0.9999990000010001,0.5285954006415744,7.144320011138916,1.190720001856486,0.2381440003712972
5,0.6666664444445185,0.0,0.99999950000025,0.7642975824696963,4.666463851928711,0.7777439753214518,0.15554879506429037
6,0.99999950000025,0.6666664444445185,0.49999987500003124,0.5285956363436237,4.019807815551758,0.8039615631103516,0.1607923126220703
7,0.99999950000025,0.6666664444445185,0.49999987500003124,0.5285956363436237,6.987167835235596,1.3974335670471192,0.2794867134094238
8,0.499999750000125,0.0,0.9999990000010001,0.6464464326301194,3.9926719665527344,0.7985343933105469,0.15970687866210936
9,0.99999950000025,0.0,0.99999950000025,0.9999996464467862,4.33571195602417,0.8671423912048339,0.1734284782409668
Average,0.6499996916668153,0.23333326388890993,0.6999995750003062,0.6383777254698293,4.921158361434936,0.8846442588170369,0.1769288517634074
