,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample)
0,0.9999998750000157,0.0,0.9999998750000157,0.9999999116116635,15.200127601623535,0.05241423310904667
1,0.9999998571428775,0.0,0.9999998571428775,0.9999998989847599,6.429247856140137,0.022246532374187323
2,0.9999998571428775,0.03546099278205322,0.4117646816609011,0.9749252915359995,7.240287780761719,0.02505289889536927
3,0.9999998571428775,0.0,0.9999998571428775,0.9999998989847599,8.992671966552734,0.03111651199499216
4,0.9999998571428775,0.007092198556410643,0.7777776913580343,0.9949850583062232,7.281343936920166,0.02519496171944694
5,0.9999998750000157,0.0035587188485454845,0.8888887901234679,0.9974836057683047,8.540224075317383,0.029550948357499593
6,0.9999998750000157,0.03558718848545485,0.4444444197530878,0.9748360576984159,11.18393611907959,0.03869874089646917
7,0.9999998750000157,0.007117437697090969,0.7999999200000081,0.9949672115389381,5.872735977172852,0.020320885734162117
8,0.9999998750000157,0.0,0.9999998750000157,0.9999999116116635,5.311776161193848,0.01837984830862923
9,0.9999998750000157,0.053380782728182266,0.34782607183364905,0.9622540865477531,8.418304443359375,0.029129081118890572
Average,0.9999998678571606,0.014219731909773742,0.7670701039014934,0.989945093258848,8.447065591812134,0.029210464250869306
