,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample),InferencePerModel(ms_per_sample_per_model)
0,0.9999998750000157,0.03546099278205322,0.4444444197530878,0.9749252915360471,4.547327995300293,0.01568044136310446,0.0031360882726208916
1,0.9999998571428775,0.06028368772949047,0.2916666545138894,0.9573729956114253,5.541408061981201,0.019174422359796543,0.0038348844719593086
2,0.7142856122449125,0.02127659566923193,0.4545454132231443,0.7974100139523963,6.517375946044922,0.022551473861747134,0.004510294772349427
3,0.9999998571428775,0.031914893503847894,0.4374999726562517,0.9774327623823565,6.087264060974121,0.02106319744281703,0.004212639488563406
4,0.857142734693895,0.024822694947437253,0.4615384260355057,0.897471066436853,8.620160102844238,0.02982754360845757,0.005965508721691514
5,0.9999998750000157,0.03558718848545485,0.4444444197530878,0.9748360576984159,6.515007972717285,0.02254328018241275,0.00450865603648255
6,0.8749998906250137,0.007117437697090969,0.7777776913580343,0.9114684088499181,7.222015857696533,0.02498967424808489,0.004997934849616978
7,0.8749998906250137,0.014234875394181938,0.636363578512402,0.9110402927690113,5.4966721534729,0.019019626828625954,0.0038039253657251907
8,0.9999998750000157,0.007117437697090969,0.7999999200000081,0.9949672115389381,5.93612813949585,0.020540235776802248,0.004108047155360449
9,0.6249999218750099,0.021352313091272907,0.4545454132231443,0.7344054030405585,5.186240196228027,0.017945467807017397,0.003589093561403479
Average,0.8946427389349646,0.025916811699715242,0.5202825909028556,0.9131329503815919,6.166960048675537,0.021333536347886598,0.00426670726957732
