,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample),InferencePerModel(ms_per_sample_per_model)
0,0.7499999625000018,0.18749999765625003,0.4999999833333339,0.7790291106603697,1.9907200336456299,0.0199072003364563,0.0039814400672912595
1,0.6190475895691624,0.10126582150296429,0.6190475895691624,0.7212711841074415,2.1634559631347656,0.021634559631347656,0.004326911926269531
2,0.7619047256235845,0.12658227687870535,0.6153845917159773,0.8093269388453395,2.0951039791107178,0.020951039791107177,0.004190207958221436
3,0.6190475895691624,0.11392404919083482,0.590909064049588,0.7188386335241796,2.1230719089508057,0.021230719089508056,0.004246143817901611
4,0.5714285442176883,0.1772151876301875,0.4615384437869829,0.6720680593185742,1.8537919521331787,0.018537919521331787,0.0037075839042663575
5,0.5714285442176883,0.27848100913315177,0.35294116608996573,0.6385963716568492,2.1889278888702393,0.02188927888870239,0.004377855777740479
6,0.8095237709750585,0.11392404919083482,0.6538461286982258,0.8430607079033461,4.633823871612549,0.04633823871612549,0.009267647743225098
7,0.6999999650000017,0.13924050456657588,0.5599999776000009,0.7661325812431808,2.600895881652832,0.026271675572250828,0.005254335114450166
8,0.8499999575000021,0.18987341531805804,0.5312499833984381,0.8288977986778883,5.091775894165039,0.0514320797390408,0.01028641594780816
9,0.7499999625000018,0.12658227687870535,0.599999976000001,0.801854735648568,6.98144006729126,0.07051959663930565,0.01410391932786113
Average,0.7002380611672352,0.1554588587946268,0.5484916904241677,0.7579076121585737,3.1723007440567015,0.031871230792517614,0.006374246158503523
