,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample),InferencePerModel(ms_per_sample_per_model)
0,0.8749998906250137,0.15846994448923526,0.19444443904321004,0.8572804311767657,6.722400188446045,0.035195812504953114,0.007039162500990623
1,0.8749998906250137,0.1420765019558661,0.21212120569329682,0.8661890143677027,9.647680282592773,0.05051141509210876,0.010102283018421752
2,0.8749998906250137,0.1420765019558661,0.21212120569329682,0.8661890143677027,4.859295845031738,0.02544133950278397,0.005088267900556794
3,0.9999998888889013,0.1263736256792658,0.2812499912109378,0.9106403523190262,4.996096134185791,0.02615757138317168,0.005231514276634337
4,0.9999998888889013,0.1373626366078976,0.2647058745674743,0.9028699481728604,10.163007736206055,0.053209464587466254,0.010641892917493252
5,0.9999998888889013,0.1648351639294771,0.2307692248520712,0.8834439378074441,6.310304164886475,0.03303824170097631,0.0066076483401952615
6,0.9999998888889013,0.11538461475063398,0.2999999900000003,0.9184107564651915,10.732831954956055,0.0561928374605029,0.01123856749210058
7,0.5555554938271674,0.09340659289337037,0.2272727169421492,0.6788647398189036,6.634687900543213,0.03473658586671839,0.0069473171733436785
8,0.6249999218750099,0.11538461475063398,0.1923076849112429,0.7225665233655996,6.640063762664795,0.034947704014025235,0.006989540802805047
9,0.8749998906250137,0.1373626366078976,0.21874999316406274,0.8686730772468344,6.2605438232421875,0.032950230648643095,0.006590046129728618
Average,0.8680554533757838,0.13327328336201436,0.2333742326077742,0.847512779510803,7.296691179275513,0.038238120276134976,0.0076476240552269936
